"ベース型番","全表記型番","シリーズ名","愛称","年式","畳数目安","冷房能力(kW)","ユニークセリングポイント (USP)","USPコサイン類似度スコア","税込価格 (円)","税抜価格 (円)","価格コサイン類似度スコア","室内機型番","室内機質量 (kg)","室内機寸法_幅 (mm)","室内機寸法_高さ (mm)","室内機寸法_奥行 (mm)","室外機型番","室外機質量 (kg)","室外機寸法_幅 (mm)","室外機寸法_高さ (mm)","室外機寸法_奥行 (mm)","電源規格","配管径_液 (mm)","配管径_ガス (mm)","暖房能力 (kW)","暖房消費電力 (W)","冷房能力 (kW)","冷房消費電力 (W)","年間消費電力量 (kWh)","APF (通年エネルギー消費効率)","冷媒種類","冷媒封入量 (kg)","GWP","おもなおすすめ機能"
"S22ATRS","S22ATRS; S22ATRS-W(-C)","RX SERIES","うるさらX","2026年モデル","6畳程度","2.2","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","517000","470000","0.856","F22ATRS-W(-C)","16","798","295","370","R22ARS","43","795","728","300","単相100V 20A","6.4","9.5","2.5","440","2.2","390","603","6.9","R32","0.96","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / うるる加湿 (無給水加湿) / 吸音マフラー / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー / 換気制御) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 給気換気／排気換気 / 水内部クリーン (加湿水洗浄/結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S25ATRS","S25ATRS; S25ATRS-W(-C)","RX SERIES","うるさらX","2026年モデル","8畳程度","2.5","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","561000","510000","0.857","F25ATRS-W(-C)","16","798","295","370","R25ARS","43","795","728","300","単相100V 20A","6.4","9.5","2.8","500","2.5","470","695","6.8","R32","0.96","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / うるる加湿 (無給水加湿) / 吸音マフラー / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー / 換気制御) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 給気換気／排気換気 / 水内部クリーン (加湿水洗浄/結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S28ATRS","S28ATRS; S28ATRS-W(-C)","RX SERIES","うるさらX","2026年モデル","10畳程度","2.8","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","605000","550000","0.856","F28ATRS-W(-C)","16","798","295","370","R28ARS","46","795","728","300","単相100V 20A","6.4","9.5","3.6","660","2.8","550","790","6.7","R32","1.02","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / うるる加湿 (無給水加湿) / 吸音マフラー / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー / 換気制御) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 給気換気／排気換気 / 水内部クリーン (加湿水洗浄/結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S36ATRS","S36ATRS; S36ATRS-W(-C)","RX SERIES","うるさらX","2026年モデル","12畳程度","3.6","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","627000","570000","0.856","F36ATRS-W(-C)","16","798","295","370","R36ARS","48","795","728","300","単相100V 20A","6.4","9.5","4.2","810","3.6","800","1032","6.6","R32","1.02","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / うるる加湿 (無給水加湿) / 吸音マフラー / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー / 換気制御) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 給気換気／排気換気 / 水内部クリーン (加湿水洗浄/結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S40ATRS","S40ATRS(P)(V); S40ATRS-W(-C); S40ATRS","RX SERIES","うるさらX","2026年モデル","14畳程度","4","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","660000","600000","0.868","F40ATRS-W(-C)","16.5","798","295","370","R40ARS","48","795","728","300","単相100V 20A","6.4","9.5","5","1000","4","920","1146","6.6","R32","1.02","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / うるる加湿 (無給水加湿) / 吸音マフラー / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー / 換気制御) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 給気換気／排気換気 / 水内部クリーン (加湿水洗浄/結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S56ATRP","S56ATRP(V); S56ATRP-W(-C)","RX SERIES","うるさらX","2026年モデル","18畳程度","5.6","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","715000","650000","0.856","F56ATRP-W(-C)","16.5","798","295","370","R56ARP","56","850","862","320","単相200V 20A","6.4","9.5","6.7","1380","5.6","1390","1605","6.6","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / うるる加湿 (無給水加湿) / 吸音マフラー / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー / 換気制御) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 給気換気／排気換気 / 水内部クリーン (加湿水洗浄/結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S63ATRP","S63ATRP(V); S63ATRP-W(-C)","RX SERIES","うるさらX","2026年モデル","20畳程度","6.3","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","803000","730000","0.856","F63ATRP-W(-C)","16.5","798","295","370","R63ARP","52","850","799","320","単相200V 20A","6.4","12.7","7.1","1550","6.3","1750","1922","6.2","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / うるる加湿 (無給水加湿) / 吸音マフラー / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー / 換気制御) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 給気換気／排気換気 / 水内部クリーン (加湿水洗浄/結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S71ATRP","S71ATRP(V); S71ATRP-W(-C)","RX SERIES","うるさらX","2026年モデル","23畳程度","7.1","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","880000","800000","0.868","F71ATRP-W(-C)","16.5","798","295","370","R71ARP","55","850","862","320","単相200V 20A","6.4","12.7","8.5","2020","7.1","2210","2276","5.9","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / うるる加湿 (無給水加湿) / 吸音マフラー / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー / 換気制御) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 給気換気／排気換気 / 水内部クリーン (加湿水洗浄/結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S80ATRP","S80ATRP(V); S80ATRP-W(-C)","RX SERIES","うるさらX","2026年モデル","26畳程度","8","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","957000","870000","0.856","F80ATRP-W(-C)","16.5","798","295","370","R80ARP","59","850","862","320","単相200V 20A","6.4","12.7","9.5","2450","8","2910","2655","5.7","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / うるる加湿 (無給水加湿) / 吸音マフラー / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー / 換気制御) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 給気換気／排気換気 / 水内部クリーン (加湿水洗浄/結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S90ATRP","S90ATRP(V); S90ATRP-W(-C)","RX SERIES","うるさらX","2026年モデル","29畳程度","9","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","1034000","940000","0.849","F90ATRP-W(-C)","16.5","798","295","370","R90ARP","59","850","862","320","単相200V 20A","6.4","12.7","10.6","2960","9","2990","3274","5.2","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / うるる加湿 (無給水加湿) / 吸音マフラー / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー / 換気制御) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 給気換気／排気換気 / 水内部クリーン (加湿水洗浄/結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
