メーカー名,製品カテゴリー,ブランド名,シリーズ名,個別の型番,全表記型番,分類キャッチコピー,Copilot+ PC,日本製,ユニークセリングポイント (USP),USPコサイン類似度スコア,OS,付属Office,ディスプレイ,CPUプロセッサー,NPU性能(TOPS),GPU,メモリ,ストレージ(SSD),通信,インターフェース,動画再生時間(時間),アイドル時間(時間),幅(mm),奥行(mm),高さ(mm),本体質量(g),おもなおすすめ機能
VAIO,ノートパソコン,VAIO,VAIO SX14-R,VAIO SX14,VAIO SX14; VAIO SX14-R; VJS14R19011B; VJS14R19021B; VJS14R19031B; VJS14R19041T; VJS14R19051G; VJS14R19061S; VJS14R295101B; VJS14R295102G; VJS14R295103R; VJS14R295104G,ハイエンド大画面モバイル,はい,いいえ,ハイエンド大画面モバイル (14.0型ワイド) | ハイエンド軽量大画面モバイル (14.0型ワイド) Copilot+PC対応 | 毎日持ち選べる軽さと充実のパフォーマンス、すべてにおいて妥協したくない人へ。,"0.738, 0.0, 0.0","['Windows 11 Home 64ビット', 'Windows 11 Pro 64ビット']",Microsoft 365 Personal (24か月版) / Office Home & Business 2024,14.0型ワイド WUXGA 1920×1200ピクセル アンチグレア,,,,16GB / 32GB (増設不可),第四世代 / 第五世代 ハイスピードSSD (NVMe 暗号化機能付き) 512GB,"{'wifi': 'IEEE 802.11a/b/g/n/ac/ax/be準拠, Wi-Fi 7適合, WPA3対応', 'bluetooth': 'Bluetooth® 5.4準拠'}","USB Type-C×2 (Thunderbolt 4, USB Power Delivery, USB4, USB 3.2, DisplayPort 2.1) / USB 3.0×1 / HDMI (出力)×1",約10.5時間〜15.0時間,約26.0時間〜35.0時間,312,226.4,13.9,,VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製 / VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製
VAIO,ノートパソコン,VAIO,VAIO SX14-R,VAIO SX14-R,VAIO SX14; VAIO SX14-R; VJS14R19011B; VJS14R19021B; VJS14R19031B; VJS14R19041T; VJS14R19051G; VJS14R19061S; VJS14R295101B; VJS14R295102G; VJS14R295103R; VJS14R295104G,ハイエンド大画面モバイル,はい,いいえ,ハイエンド大画面モバイル (14.0型ワイド) | ハイエンド軽量大画面モバイル (14.0型ワイド) Copilot+PC対応 | 毎日持ち選べる軽さと充実のパフォーマンス、すべてにおいて妥協したくない人へ。,"0.738, 0.0, 0.0","['Windows 11 Home 64ビット', 'Windows 11 Pro 64ビット']",Microsoft 365 Personal (24か月版) / Office Home & Business 2024,14.0型ワイド WUXGA 1920×1200ピクセル アンチグレア,,,,16GB / 32GB (増設不可),第四世代 / 第五世代 ハイスピードSSD (NVMe 暗号化機能付き) 512GB,"{'wifi': 'IEEE 802.11a/b/g/n/ac/ax/be準拠, Wi-Fi 7適合, WPA3対応', 'bluetooth': 'Bluetooth® 5.4準拠'}","USB Type-C×2 (Thunderbolt 4, USB Power Delivery, USB4, USB 3.2, DisplayPort 2.1) / USB 3.0×1 / HDMI (出力)×1",約10.5時間〜15.0時間,約26.0時間〜35.0時間,312,226.4,13.9,,VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製 / VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製
VAIO,ノートパソコン,VAIO,VAIO SX14-R,VJS14R19011B,VAIO SX14; VAIO SX14-R; VJS14R19011B; VJS14R19021B; VJS14R19031B; VJS14R19041T; VJS14R19051G; VJS14R19061S; VJS14R295101B; VJS14R295102G; VJS14R295103R; VJS14R295104G,ハイエンド大画面モバイル,はい,いいえ,ハイエンド大画面モバイル (14.0型ワイド) | ハイエンド軽量大画面モバイル (14.0型ワイド) Copilot+PC対応 | 毎日持ち選べる軽さと充実のパフォーマンス、すべてにおいて妥協したくない人へ。,"0.738, 0.0, 0.0","['Windows 11 Home 64ビット', 'Windows 11 Pro 64ビット']",Microsoft 365 Personal (24か月版) / Office Home & Business 2024,14.0型ワイド WUXGA 1920×1200ピクセル アンチグレア,,,,16GB / 32GB (増設不可),第四世代 / 第五世代 ハイスピードSSD (NVMe 暗号化機能付き) 512GB,"{'wifi': 'IEEE 802.11a/b/g/n/ac/ax/be準拠, Wi-Fi 7適合, WPA3対応', 'bluetooth': 'Bluetooth® 5.4準拠'}","USB Type-C×2 (Thunderbolt 4, USB Power Delivery, USB4, USB 3.2, DisplayPort 2.1) / USB 3.0×1 / HDMI (出力)×1",約10.5時間〜15.0時間,約26.0時間〜35.0時間,312,226.4,13.9,,VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製 / VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製
VAIO,ノートパソコン,VAIO,VAIO SX14-R,VJS14R19021B,VAIO SX14; VAIO SX14-R; VJS14R19011B; VJS14R19021B; VJS14R19031B; VJS14R19041T; VJS14R19051G; VJS14R19061S; VJS14R295101B; VJS14R295102G; VJS14R295103R; VJS14R295104G,ハイエンド大画面モバイル,はい,いいえ,ハイエンド大画面モバイル (14.0型ワイド) | ハイエンド軽量大画面モバイル (14.0型ワイド) Copilot+PC対応 | 毎日持ち選べる軽さと充実のパフォーマンス、すべてにおいて妥協したくない人へ。,"0.738, 0.0, 0.0","['Windows 11 Home 64ビット', 'Windows 11 Pro 64ビット']",Microsoft 365 Personal (24か月版) / Office Home & Business 2024,14.0型ワイド WUXGA 1920×1200ピクセル アンチグレア,,,,16GB / 32GB (増設不可),第四世代 / 第五世代 ハイスピードSSD (NVMe 暗号化機能付き) 512GB,"{'wifi': 'IEEE 802.11a/b/g/n/ac/ax/be準拠, Wi-Fi 7適合, WPA3対応', 'bluetooth': 'Bluetooth® 5.4準拠'}","USB Type-C×2 (Thunderbolt 4, USB Power Delivery, USB4, USB 3.2, DisplayPort 2.1) / USB 3.0×1 / HDMI (出力)×1",約10.5時間〜15.0時間,約26.0時間〜35.0時間,312,226.4,13.9,,VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製 / VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製
VAIO,ノートパソコン,VAIO,VAIO SX14-R,VJS14R19031B,VAIO SX14; VAIO SX14-R; VJS14R19011B; VJS14R19021B; VJS14R19031B; VJS14R19041T; VJS14R19051G; VJS14R19061S; VJS14R295101B; VJS14R295102G; VJS14R295103R; VJS14R295104G,ハイエンド大画面モバイル,はい,いいえ,ハイエンド大画面モバイル (14.0型ワイド) | ハイエンド軽量大画面モバイル (14.0型ワイド) Copilot+PC対応 | 毎日持ち選べる軽さと充実のパフォーマンス、すべてにおいて妥協したくない人へ。,"0.738, 0.0, 0.0","['Windows 11 Home 64ビット', 'Windows 11 Pro 64ビット']",Microsoft 365 Personal (24か月版) / Office Home & Business 2024,14.0型ワイド WUXGA 1920×1200ピクセル アンチグレア,,,,16GB / 32GB (増設不可),第四世代 / 第五世代 ハイスピードSSD (NVMe 暗号化機能付き) 512GB,"{'wifi': 'IEEE 802.11a/b/g/n/ac/ax/be準拠, Wi-Fi 7適合, WPA3対応', 'bluetooth': 'Bluetooth® 5.4準拠'}","USB Type-C×2 (Thunderbolt 4, USB Power Delivery, USB4, USB 3.2, DisplayPort 2.1) / USB 3.0×1 / HDMI (出力)×1",約10.5時間〜15.0時間,約26.0時間〜35.0時間,312,226.4,13.9,,VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製 / VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製
VAIO,ノートパソコン,VAIO,VAIO SX14-R,VJS14R19041T,VAIO SX14; VAIO SX14-R; VJS14R19011B; VJS14R19021B; VJS14R19031B; VJS14R19041T; VJS14R19051G; VJS14R19061S; VJS14R295101B; VJS14R295102G; VJS14R295103R; VJS14R295104G,ハイエンド大画面モバイル,はい,いいえ,ハイエンド大画面モバイル (14.0型ワイド) | ハイエンド軽量大画面モバイル (14.0型ワイド) Copilot+PC対応 | 毎日持ち選べる軽さと充実のパフォーマンス、すべてにおいて妥協したくない人へ。,"0.738, 0.0, 0.0","['Windows 11 Home 64ビット', 'Windows 11 Pro 64ビット']",Microsoft 365 Personal (24か月版) / Office Home & Business 2024,14.0型ワイド WUXGA 1920×1200ピクセル アンチグレア,,,,16GB / 32GB (増設不可),第四世代 / 第五世代 ハイスピードSSD (NVMe 暗号化機能付き) 512GB,"{'wifi': 'IEEE 802.11a/b/g/n/ac/ax/be準拠, Wi-Fi 7適合, WPA3対応', 'bluetooth': 'Bluetooth® 5.4準拠'}","USB Type-C×2 (Thunderbolt 4, USB Power Delivery, USB4, USB 3.2, DisplayPort 2.1) / USB 3.0×1 / HDMI (出力)×1",約10.5時間〜15.0時間,約26.0時間〜35.0時間,312,226.4,13.9,,VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製 / VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製
VAIO,ノートパソコン,VAIO,VAIO SX14-R,VJS14R19051G,VAIO SX14; VAIO SX14-R; VJS14R19011B; VJS14R19021B; VJS14R19031B; VJS14R19041T; VJS14R19051G; VJS14R19061S; VJS14R295101B; VJS14R295102G; VJS14R295103R; VJS14R295104G,ハイエンド大画面モバイル,はい,いいえ,ハイエンド大画面モバイル (14.0型ワイド) | ハイエンド軽量大画面モバイル (14.0型ワイド) Copilot+PC対応 | 毎日持ち選べる軽さと充実のパフォーマンス、すべてにおいて妥協したくない人へ。,"0.738, 0.0, 0.0","['Windows 11 Home 64ビット', 'Windows 11 Pro 64ビット']",Microsoft 365 Personal (24か月版) / Office Home & Business 2024,14.0型ワイド WUXGA 1920×1200ピクセル アンチグレア,,,,16GB / 32GB (増設不可),第四世代 / 第五世代 ハイスピードSSD (NVMe 暗号化機能付き) 512GB,"{'wifi': 'IEEE 802.11a/b/g/n/ac/ax/be準拠, Wi-Fi 7適合, WPA3対応', 'bluetooth': 'Bluetooth® 5.4準拠'}","USB Type-C×2 (Thunderbolt 4, USB Power Delivery, USB4, USB 3.2, DisplayPort 2.1) / USB 3.0×1 / HDMI (出力)×1",約10.5時間〜15.0時間,約26.0時間〜35.0時間,312,226.4,13.9,,VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製 / VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製
VAIO,ノートパソコン,VAIO,VAIO SX14-R,VJS14R19061S,VAIO SX14; VAIO SX14-R; VJS14R19011B; VJS14R19021B; VJS14R19031B; VJS14R19041T; VJS14R19051G; VJS14R19061S; VJS14R295101B; VJS14R295102G; VJS14R295103R; VJS14R295104G,ハイエンド大画面モバイル,はい,いいえ,ハイエンド大画面モバイル (14.0型ワイド) | ハイエンド軽量大画面モバイル (14.0型ワイド) Copilot+PC対応 | 毎日持ち選べる軽さと充実のパフォーマンス、すべてにおいて妥協したくない人へ。,"0.738, 0.0, 0.0","['Windows 11 Home 64ビット', 'Windows 11 Pro 64ビット']",Microsoft 365 Personal (24か月版) / Office Home & Business 2024,14.0型ワイド WUXGA 1920×1200ピクセル アンチグレア,,,,16GB / 32GB (増設不可),第四世代 / 第五世代 ハイスピードSSD (NVMe 暗号化機能付き) 512GB,"{'wifi': 'IEEE 802.11a/b/g/n/ac/ax/be準拠, Wi-Fi 7適合, WPA3対応', 'bluetooth': 'Bluetooth® 5.4準拠'}","USB Type-C×2 (Thunderbolt 4, USB Power Delivery, USB4, USB 3.2, DisplayPort 2.1) / USB 3.0×1 / HDMI (出力)×1",約10.5時間〜15.0時間,約26.0時間〜35.0時間,312,226.4,13.9,,VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製 / VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製
VAIO,ノートパソコン,VAIO,VAIO SX14-R,VJS14R295101B,VAIO SX14; VAIO SX14-R; VJS14R19011B; VJS14R19021B; VJS14R19031B; VJS14R19041T; VJS14R19051G; VJS14R19061S; VJS14R295101B; VJS14R295102G; VJS14R295103R; VJS14R295104G,ハイエンド大画面モバイル,はい,いいえ,ハイエンド大画面モバイル (14.0型ワイド) | ハイエンド軽量大画面モバイル (14.0型ワイド) Copilot+PC対応 | 毎日持ち選べる軽さと充実のパフォーマンス、すべてにおいて妥協したくない人へ。,"0.738, 0.0, 0.0","['Windows 11 Home 64ビット', 'Windows 11 Pro 64ビット']",Microsoft 365 Personal (24か月版) / Office Home & Business 2024,14.0型ワイド WUXGA 1920×1200ピクセル アンチグレア,,,,16GB / 32GB (増設不可),第四世代 / 第五世代 ハイスピードSSD (NVMe 暗号化機能付き) 512GB,"{'wifi': 'IEEE 802.11a/b/g/n/ac/ax/be準拠, Wi-Fi 7適合, WPA3対応', 'bluetooth': 'Bluetooth® 5.4準拠'}","USB Type-C×2 (Thunderbolt 4, USB Power Delivery, USB4, USB 3.2, DisplayPort 2.1) / USB 3.0×1 / HDMI (出力)×1",約10.5時間〜15.0時間,約26.0時間〜35.0時間,312,226.4,13.9,,VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製 / VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製
VAIO,ノートパソコン,VAIO,VAIO SX14-R,VJS14R295102G,VAIO SX14; VAIO SX14-R; VJS14R19011B; VJS14R19021B; VJS14R19031B; VJS14R19041T; VJS14R19051G; VJS14R19061S; VJS14R295101B; VJS14R295102G; VJS14R295103R; VJS14R295104G,ハイエンド大画面モバイル,はい,いいえ,ハイエンド大画面モバイル (14.0型ワイド) | ハイエンド軽量大画面モバイル (14.0型ワイド) Copilot+PC対応 | 毎日持ち選べる軽さと充実のパフォーマンス、すべてにおいて妥協したくない人へ。,"0.738, 0.0, 0.0","['Windows 11 Home 64ビット', 'Windows 11 Pro 64ビット']",Microsoft 365 Personal (24か月版) / Office Home & Business 2024,14.0型ワイド WUXGA 1920×1200ピクセル アンチグレア,,,,16GB / 32GB (増設不可),第四世代 / 第五世代 ハイスピードSSD (NVMe 暗号化機能付き) 512GB,"{'wifi': 'IEEE 802.11a/b/g/n/ac/ax/be準拠, Wi-Fi 7適合, WPA3対応', 'bluetooth': 'Bluetooth® 5.4準拠'}","USB Type-C×2 (Thunderbolt 4, USB Power Delivery, USB4, USB 3.2, DisplayPort 2.1) / USB 3.0×1 / HDMI (出力)×1",約10.5時間〜15.0時間,約26.0時間〜35.0時間,312,226.4,13.9,,VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製 / VAIO User Sensing / AI ノイズキャンセリング / Copilot+PC / 指紋認証 / 顔認証 / Wi-Fi 7 / ビデオチャット / 品質試験 / JAPAN 日本製
